idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
1478,4253,"April 5th 2021, 9:27:29.982","April 5th 2021, 9:27:26.000",-3982,0x3cf26ef32c2dd62a16ab323dd76edc1263af27a9ede0a951aee0c4bfcd3e9338,0x7689397a7480792ed5a34a9872da6cb63d95edc8f4fba4edec0f9caad07f00d5,252,1218605,1218605,1000,1967,1617668846,1
1689,5210,"April 5th 2021, 9:27:34.178","April 5th 2021, 9:27:30.000",-4178,0x76edc1468c22d37925b9cf9d9e557b310fbb306f69f781ec25bdef04a9e9f13c,0xc02c7ca1d225af5489e35680ab170f378b23933bfebd3e8be699e64adcbda9f3,253,1095292,1095292,1000,1149,1617668850,1
1923,5727,"April 5th 2021, 9:27:36.987","April 5th 2021, 9:27:34.000",-2987,0x521617bd4fa2d66acaaec3e7f91c67a07ec469b05a0fcfe4499e5afc91c4ae64,0x69370b8c13953221d8f629b69f4ee31571624c1dafedd26643f9c4d3d75943db,254,807081,807081,1000,1167,1617668854,1
2866,4144,"April 5th 2021, 9:27:41.806","April 5th 2021, 9:27:37.000",-4806,0x6f97e6e81ab2ffa5cab64d470b2d74cb5b770ed90fa2a04ae66623042d28157c,0x23c6935aa07f4f89ce52225270433db206f8b218ec7b20090e7c05e69fd2e4cd,255,1342195,1342195,1000,1017,1617668857,1
1161,3641,"April 5th 2021, 9:27:45.419","April 5th 2021, 9:27:42.000",-3419,0xa3935bdab70d92f0c843233663aae455782f33b1198ab4854cba9f21103bf532,0xf6239227b0084d715f4d85e392233a8cfd5571b038434e2ed41e0f48cc687625,256,807069,807069,1000,1829,1617668862,1
1068,3108,"April 5th 2021, 9:27:49.196","April 5th 2021, 9:27:45.000",-4196,0x45fe8c4f2ca120fe0078b0c5d2a586a74b7ddb30deb9ecb13ac5f19d07b149d8,0x5a4b1d1a60357f2acbb74d74b9bf86bbe4f709ced78dfce4e9b8c23a5fd26499,257,156558,156558,1000,1973,1617668865,1
2945,5897,"April 5th 2021, 9:27:51.566","April 5th 2021, 9:27:49.000",-2566,0xe00ce7e01ba0f06afce41b8040203018c1a4f159cfef386a79c1089ee7da8830,0x7990d65d2b1f27c5bf83aadf1980877d38376b85c0038c15d393fe7e2eee2655,258,724668,724668,1000,1645,1617668869,1
1380,3642,"April 5th 2021, 9:27:55.451","April 5th 2021, 9:27:51.000",-4451,0x5b3f9668e63db508e12dfd298ca2dc1c1817058b05f8aa4254995f4f66aeabe7,0xe96571b9c2d025616637cb692b77d1c54569cae159f3b9a680bde76c153c26cb,259,1259722,1259722,1000,1645,1617668871,1
2916,3363,"April 5th 2021, 9:27:55.451","April 5th 2021, 9:27:55.000",-451,0xd86054ab1a7008f4368011c8a733f0e092853884d4598d50ca26d8f81f5e163c,0x819999ed49adf6f3dcd73b50267b21447023fae8d4f171a9454e970d46752c06,260,1342267,1342267,1000,1645,1617668875,1
1638,3111,"April 5th 2021, 9:27:55.451","April 5th 2021, 9:28:00.000",4549,0x0045ad494ef608df3c21afaa1b8dea945795ced358fb0e205db3474fdecceef3,0x6734de526e497bb49bdf76a7a6be3bcb1cd5ce539e19bb5335d57f2fbd8b1f66,261,1136288,1136288,1000,1645,1617668880,1
