idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
2139,3618,"March 23rd 2021, 8:48:41.640","March 23rd 2021, 8:48:33.000",-8640,0xf2b1df48709b0cff82b3288ced7253c6cf0b0d644734d978a7bf1a5ef513f67f,0x246476b74ac42e7928f6af2371c74685975a1b51f4bda961e14e61bc7a8ddfee,66,2145129,2145129,1000,2147,1616543313,1
2206,4454,"March 23rd 2021, 8:48:49.943","March 23rd 2021, 8:48:41.000",-8943,0x4fb386e0c2bca8e648bd986a818f22b76b3e6fbf09447f804c3cd80bf2b9427c,0x7769f3bbbf0993c7b17d7b7036368821773b06235297a7bef3550a950d1fda25,67,2268611,2268611,1000,2309,1616543321,1
2637,5828,"March 23rd 2021, 8:48:55.308","March 23rd 2021, 8:48:49.000",-6308,0x1ef63a7391c1169cb7cb9b57a0f00c7e40dede39308042f92ffdbfdc7160b9bf,0xfa6af8146ec99a373fad8225916ddcc369544076a6312d68fe4a46319afc6bc4,68,1609939,1609939,1000,3547,1616543329,1
2487,5721,"March 23rd 2021, 8:49:00.454","March 23rd 2021, 8:48:55.000",-5454,0x6642aec1252c4593384d79f260136c2221cbfde9d9c983233dd11f7955fa8a6a,0x28ea297bd991868d8d448a0b2757e683ca6575378870c9057b01cd0558f74ac5,69,1465580,1465580,1000,2762,1616543335,1
1149,4960,"March 23rd 2021, 8:49:04.998","March 23rd 2021, 8:49:00.000",-4998,0xed3c353bedd4e91d3e8929e6a0c72ae13ff1fa892ef71354fe2563d4a9ac2c9e,0xb501d87b10907e1ee3b6ff952c4e614f876fb5074055590fd7535f86fd7277fe,70,1568546,1568546,1000,2398,1616543340,1
2309,4022,"March 23rd 2021, 8:49:11.506","March 23rd 2021, 8:49:05.000",-6506,0x147c74608402a229644a977d3fe0c5519384a35d52b9170801db1e09cdd258f0,0xdf1556609ebc76fd7527c6b08ab4c9d3e9976a0a0f677b71f241de2bd30a6676,71,2351169,2351169,1000,3040,1616543345,1
2716,4261,"March 23rd 2021, 8:49:17.312","March 23rd 2021, 8:49:11.000",-6312,0x548097e0d9c1d58c8c896c3aad591cab958e3d64237c6f56226d59c6f0e4e432,0xbf31ba82cfce750ff36296009fbc8d93e39600b8daa7bc7a9be71144471413ab,72,1856843,1856843,1000,2358,1616543351,1
2908,4956,"March 23rd 2021, 8:49:22.923","March 23rd 2021, 8:49:17.000",-5923,0x4352a7a2dfed92a04cc616121026ed2fad4021874afb1f5c9bd598a254424227,0x08fd5b29ef5f5be4f998188acdb6e4e30e52aeee84a964c997ebe81802259531,73,1610023,1610023,1000,2358,1616543357,1
1478,4834,"March 23rd 2021, 8:49:22.923","March 23rd 2021, 8:49:23.000",77,0x4906a936d75db300c6c64f7e72dc78cbae86774af457fb463b97709d071d91ce,0xf49e55e2ed5829e80e9dd8dcd8821ac7d9129160c5fbbda869199d4281ac74d5,74,2021814,2021814,1000,2358,1616543363,1
2070,5827,"March 23rd 2021, 8:49:22.923","March 23rd 2021, 8:49:28.000",5077,0x2c7c00d5de571538ead74219fd9720f1467b7280d5a58472fc71430549fb1b28,0x2383a1d0271a232d922bff7e4dd118c8748f177264a34bf51da2d6a2d83b8ee1,75,1589338,1589338,1000,2358,1616543368,1
