idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
1296,5096,"March 24th 2021, 11:14:12.486","March 24th 2021, 11:13:59.000",-13486,0x900d51d5666d7eb4ed08ad77bc730d28c20730b6a5e43e0ce3ed5d356d45f29b,0x238652954a371d5d623eed0b125c7a2324dec424afc2db47d5d0e6aed689c256,263,3442376,3442376,1000,6049,1616638439,1
1067,5633,"March 24th 2021, 11:14:21.568","March 24th 2021, 11:14:12.000",-9568,0xb73e73a566b16fceca23f38dec8e1d0343764aa290c9c244a33e06435db2674a,0x14fb847ec7d40e72babb4593e1cdb6067b3943ff0a2dff535a6aacafabb12ade,264,3153823,3153823,1000,4129,1616638452,1
1140,4381,"March 24th 2021, 11:14:36.721","March 24th 2021, 11:14:21.000",-15721,0x9d63c9cf7607939e12c5356b76a12788431b384681ad8cf200ac3a46e62e2022,0xc7c9e9807de1ff8d47ca1ab768d1034523a8376375e6525344d12940c900488d,265,4039161,4039161,1000,4508,1616638461,1
2300,4844,"March 24th 2021, 11:14:49.743","March 24th 2021, 11:14:36.000",-13743,0x1c28272780751369f0ab37bae236c7bd0ed9ad2d8f22a172b8ba79457a8bb39b,0x95e3042233fc8243097035797905a4c18cff86e20b5c4678bd7589f9ac3adfd1,266,3977359,3977359,1000,5041,1616638476,1
1984,3521,"March 24th 2021, 11:14:59.666","March 24th 2021, 11:14:49.000",-10666,0x425218efedd8fccae2e74b0d771f8fcb73daf852c0df1832f492b639e5bf5b2c,0x1bda5e9a2892230ca9c4ae04ed890063e6a65d60eb290bd59e3ad1385d8b0099,267,2742039,2742039,1000,4904,1616638489,1
2387,3483,"March 24th 2021, 11:15:10.053","March 24th 2021, 11:14:59.000",-11053,0xb84d4cbbd108ec1e4c4b9afac8ddd3a22830211fffcb4b3557c584b6ac4c23ed,0x5a242e232e222fecd08d99978ad8a168bdc28163bbcf903635deb277f4527aea,268,2968837,2968837,1000,6367,1616638499,1
1244,5527,"March 24th 2021, 11:15:21.929","March 24th 2021, 11:15:10.000",-11929,0x6856cba5aef02e748748ed92711ac21e6d8e3583c1a8b2bec0714b884972e823,0x9f76c804c50b4d6556a0c8466b8f1e68b4c907234444d0c910b2efa049a7af2a,269,3318712,3318712,1000,5214,1616638510,1
1454,5554,"March 24th 2021, 11:15:37.600","March 24th 2021, 11:15:21.000",-16600,0x0efcf575de9be10e0fa84792eee29b526883b3d92d8ef2eda57f6bd7f2d398d5,0x0e89a12299d378a8514b2c54b6888425cd0279f38f8ec4c3c100d55691eb3991,270,574464,574464,1000,5214,1616638521,1
1181,3256,"March 24th 2021, 11:15:37.600","March 24th 2021, 11:15:37.000",-600,0xb4878aa9738e33b735abbb585c8faea44770247b3904776836d777c1c2a1f816,0x084388d0a1b67557548f631c419d14e9633fee0ae7977ccf6cde2575f3689704,271,4163018,4163018,1000,5214,1616638537,1
2015,4766,"March 24th 2021, 11:15:37.600","March 24th 2021, 11:15:54.000",16400,0x9065c6152b197dcb4af03fb71231081a68aae79d8f8a8b34132cda1a32998388,0xedf81605e7d5de5658dfbc5356aec80fab14e96425a808bcaa6d892e669e7568,272,3421811,3421811,1000,5214,1616638554,1
