idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
2485,4200,"March 24th 2021, 10:16:53.629","March 24th 2021, 10:16:44.000",-9629,0xbfc759a5e68b7ac881392373c9a8e8cbc40690682c51dbfdab9c36f1459d604e,0x8f18e90d49d2549b298fa4a14777748132692b3f577385e733bd1410fcfea9f9,13,3442148,3442148,1000,4171,1616635004,1
1029,4860,"March 24th 2021, 10:17:03.322","March 24th 2021, 10:16:53.000",-10322,0x52189d3749425ce39869bc8529ca863c957eab1f7ca91180845afea0aa77fa1e,0x0057f0c0c07d5faf516604bb0eac5babdf0e3a849ca5c4ec1747759c13d112c4,14,3195252,3195252,1000,4381,1616635013,1
1425,4799,"March 24th 2021, 10:17:14.414","March 24th 2021, 10:17:03.000",-11414,0x146fe3d6933b8bbea67e9f103efe9ae5374851fa38329556f2e53e68bf956f0c,0x73652e2a5caefc5ca7cb777838dc4af925719ffe19a35aeb0a9f164070ceebf1,15,3647939,3647939,1000,5065,1616635023,1
2685,4067,"March 24th 2021, 10:17:22.570","March 24th 2021, 10:17:14.000",-8570,0x4720e5f02b0736148ce689b54a7d95deab6ea70e9afafb11057e84a9c80e595c,0xc83e02f249a495da6db33b2d1b94f53bfed123b30786bf8cfb5a7560718228f5,16,2762747,2762747,1000,6885,1616635034,1
1843,3738,"March 24th 2021, 10:17:30.737","March 24th 2021, 10:17:22.000",-8737,0xc67809a026ee76cecf49bd0a9798b686be6e75b7e620d7db48d2168a004a0847,0x19b6eae4be2d3278710b13c0efb1a39ac3c2a2397be4bb19314446eca08d7056,17,2886495,2886495,1000,5430,1616635042,1
1040,4109,"March 24th 2021, 10:17:40.388","March 24th 2021, 10:17:30.000",-10388,0xa49078d1c0bc3b8a86e1a6a812fc44944972261286b936fd92c2f660faaaf969,0x9802f5f4e610bfcec5a8913d133cba3052ffcc365d1150f017f4c61a4024f1c3,18,3339204,3339204,1000,6663,1616635050,1
2423,3625,"March 24th 2021, 10:17:52.758","March 24th 2021, 10:17:40.000",-12758,0x732ededf48230fcf86d497559eb186ca306ad2891f3a33aa54083c97a5ba1ab6,0xa15a77775446f9e0e3073010fe97613ebfe04d5e7a10313f9169d6f19ad9afc5,19,4512716,4512716,1000,6837,1616635060,1
1682,5696,"March 24th 2021, 10:18:03.611","March 24th 2021, 10:17:52.000",-11611,0xe20fd8840b3217d2b4211bd07c3b9ce5c56f6a365a46cd69962a577316fa60ee,0x6673752bf90a13907d825151829af75a4e3f737c561233478da5859e19b65a17,20,3565836,3565836,1000,6837,1616635072,1
1911,3126,"March 24th 2021, 10:18:03.611","March 24th 2021, 10:18:03.000",-611,0xaba3f266106059665a471fb983e5b48e86dba5367981376142642e0c4cdb3545,0xdff04cde2e04267a3d6fcc258b24a06e720f991c75bd21feae514c9a6b449436,21,4368618,4368618,1000,6837,1616635083,1
2313,3349,"March 24th 2021, 10:18:03.611","March 24th 2021, 10:18:15.000",11389,0x10272fba4ccd1857a77e2ee42752b47aa0f78d9174405aef714136876b03b2e7,0x76b2e78e48e46c6b646695f8d298545e12597ecf160316b7bda645252537a3d0,22,4471731,4471731,1000,6837,1616635095,1
