idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
1514,5771,"March 25th 2021, 3:39:36.867","March 25th 2021, 3:39:30.000",-6867,0x9fd7632420da94d72bd933890831d9c7862144f4bccdcd767db4b16be953ff61,0x1997fca3e39518d5180d09447f92b2c363791e4bfd1d3f9fdd19a9ef6a17c68c,2,2639384,2639384,1000,2310,1616697570,1
1718,5588,"March 25th 2021, 3:39:41.435","March 25th 2021, 3:39:36.000",-5435,0xa81690b128172d22bed93bbf9d42f5bd5a2c63454c5cf7de23b86ea3439cd13c,0x26b43d48f34bc7ffae2bff6c99232aeb39f1579d22de874f60e2e3830218cbb9,3,1754009,1754009,1000,3236,1616697576,1
1659,3087,"March 25th 2021, 3:39:45.996","March 25th 2021, 3:39:41.000",-4996,0xd1537ce1a5ca5e666d73bf19c845b28f56f7b7f497b084c6762feb8b4e3162a8,0xf67e02595b8acf5aa6ca96ece968845fda56c972d069d546468bc8d86c2de772,4,1486277,1486277,1000,2114,1616697581,1
2777,3931,"March 25th 2021, 3:39:50.326","March 25th 2021, 3:39:46.000",-4326,0xae02714c64213ee29a3365e3d170caab639ef26d3890d7259a091c0f73deeb5c,0x17ae6b8373ed1fba4cc664f6b41d0fa64339ae66c8acdf20c524c7f563df9e00,5,1568558,1568558,1000,2733,1616697586,1
2776,4392,"March 25th 2021, 3:39:55.586","March 25th 2021, 3:39:50.000",-5586,0xe7415cfd6ac8f244b91338f0e5c70aa173be5667185f3e4202c13a1a1486a5d3,0xce846814abb1f0eed1fb7a01ba2d63fb8402b6226abb347e200b4d58fa19ea77,6,2165597,2165597,1000,3642,1616697590,1
1584,4722,"March 25th 2021, 3:39:59.604","March 25th 2021, 3:39:55.000",-4604,0x6a75640d57d58af9dcfe1fdf4c93ba69fd99701f5a4e06179f121b904a250ed6,0xc0b64de34a3d654e6cedf0d2fa6b7666a22bd4f792752a027758b47bb097bc87,7,1444980,1444980,1000,3503,1616697595,1
1511,3733,"March 25th 2021, 3:40:05.240","March 25th 2021, 3:39:59.000",-6240,0xa30e28c4d2c4148b9c55943c9f91be2097790cd1e89981904bd4dbd4a5f3db6b,0x96f5d41cb19cd743f7ede3d56e285ec4709829e69ff73d2cdc410b06893074de,8,1836291,1836291,1000,2951,1616697599,1
1797,3022,"March 25th 2021, 3:40:13.971","March 25th 2021, 3:40:05.000",-8971,0x5b923245af0632cfa8f0e27c0c6566f8a9f84480f21cd35f7aedacf57fd5b115,0x688d9a1b419f8fee437ef3049ff40239d4fcde400c5a531bea959d068ec5e20d,9,2412923,2412923,1000,3570,1616697605,1
1187,3650,"March 25th 2021, 3:40:20.649","March 25th 2021, 3:40:14.000",-6649,0x367c731e9e0bf6c0b62f03b4ba6bdcc6d41ac51e553a444f3f736a1ab5688e9d,0x7bcc7704f91f29a89ad6f9e4aed7aa21d0818c00d5977b9517a446f2d0d2a14c,10,2330437,2330437,1000,2480,1616697614,1
1675,3701,"March 25th 2021, 3:40:26.258","March 25th 2021, 3:40:20.000",-6258,0x37347f1cd08577c9611ee82a6567fb6b2e6ceddd0c349e18cb339d3bbaff90b0,0x9f1a269ef213e5dd8afa34b4f3c63eddbcfafd26ff70e839fa3f525668660d77,11,1980337,1980337,1000,3432,1616697620,1
1711,3659,"March 25th 2021, 3:40:33.247","March 25th 2021, 3:40:26.000",-7247,0x184ef2a82e484378252bb80d1fa2e52db29d9cd64b8c7fdeb873d25918cbd188,0xb5d3b3e539a422a31ece043ba5a449d929037dc23f249209377d33351b36c1e3,12,2371650,2371650,1000,3733,1616697626,1
2862,3698,"March 25th 2021, 3:40:38.288","March 25th 2021, 3:40:33.000",-5288,0x9285f635cd887a8b521ac850275d0917f7b5dc44e410c165dc9f943ba242e931,0xcb2b41f49f870cb6ce817d11116e9827e4c9309b3493efc790771387dd102c57,13,1671620,1671620,1000,3341,1616697633,1
1414,5331,"March 25th 2021, 3:40:44.492","March 25th 2021, 3:40:38.000",-6492,0x43d14590a9fb2dca1aa65ec4378d28adf056aea823facd5bec8a54b325faf1c5,0x3f757ad2c929b7174b8d24c428881ba2bd1da83f8a87a17101908f85afffa62d,14,2289176,2289176,1000,3924,1616697638,1
2587,4188,"March 25th 2021, 3:40:50.036","March 25th 2021, 3:40:44.000",-6036,0x28fbdb8be182dd308f66955152d82389c528003167a8d4fab19480c504f63119,0x7c25e0a2636be8d43b436a061ae2d49e48b935c4326201f06717a4db7b66c245,15,2474628,2474628,1000,3041,1616697644,1
1653,4140,"March 25th 2021, 3:40:55.943","March 25th 2021, 3:40:50.000",-5943,0x25cc95cf3427047ef9d1273d02a8c563568dd37e30c4f95dcc6052687d7fcd41,0xadf69bc626ea0694804ba2f240ad0f507d89227782915d23324508517524c6df,16,2227470,2227470,1000,3540,1616697650,1
2203,3095,"March 25th 2021, 3:41:03.385","March 25th 2021, 3:40:56.000",-7385,0x0137a063d8ae213efa64d6c1e7476c42b073776b7a519ae617c696b3265ee3d8,0x7d4989434cd7298c4e2db269e54e843fe6f78d10f287ccda4737c76b670356b0,17,2598147,2598147,1000,2898,1616697656,1
1990,3576,"March 25th 2021, 3:41:09.472","March 25th 2021, 3:41:03.000",-6472,0xff9a9cf02b04e6f2ff67de193d8ae8c15469c946f61f13ac8900f0c66e41ea29,0x382410b55e08501676f58caa6adc17b4c98bc494aaf8a46de013bbc3ab1629bb,18,2042030,2042030,1000,3609,1616697663,1
2643,4534,"March 25th 2021, 3:41:15.074","March 25th 2021, 3:41:09.000",-6074,0x1c0283e8cf06420a3b6dd0cf2f0808c3f14860f54dc8048a059ecac3bd6c79a2,0xf1df4f76986c5cf143f864fd3673d4d785d0fec7f1ae37508ac2e5ecb06d7b90,19,2351085,2351085,1000,2221,1616697669,1
1366,4804,"March 25th 2021, 3:41:20.057","March 25th 2021, 3:41:15.000",-5057,0x6b3956e82c6d8a78439b2469857404a920e80704b6942211ec8a50f0edadd619,0xe5900a9c3b857ad63e99555b3ad7dff21201745fe6a1abfc8ae0360f8b71d63c,20,1939292,1939292,1000,2336,1616697675,1
1864,5017,"March 25th 2021, 3:41:26.869","March 25th 2021, 3:41:20.000",-6869,0x56d1c4fd77141ce4842bd186aafad7fac2d7226f5b82653dd8df5be56dd6fea0,0x06c36d3a2071550ab047cf5022693fea9185ce4ef575c6c5bd573d5480632fd6,21,2392322,2392322,1000,3575,1616697680,1
