idRegister,idUser,startInsertTime,endInsertTime,timePublication,transactionHash,blockHash,blockNumber,gasUsedTransaction,gasUsedBlock,size,bytes_media,timestamp,numberTransactions
2106,3236,"March 25th 2021, 5:28:43.748","March 25th 2021, 5:28:36.000",-7748,0xb736074f69d8479ee7daf0c82c0a68ede33ae710d06d6412b6c51d86f20a28a4,0x1b670bae99abac3b3b2201c1afc020e0bf3e98df41498603725988a119769eca,752,2309836,2309836,1000,2200,1616704116,1
1231,4504,"March 25th 2021, 5:28:49.777","March 25th 2021, 5:28:43.000",-6777,0x872f906ad3dd1b094eb954a35e077d5003f2725e83125ba8b3ce662a441d32ab,0xc5d85b22a310091ae4dc80631c62eb848f6661643067ebc74bf2b156900d7eed,753,1918788,1918788,1000,3282,1616704123,1
1681,4430,"March 25th 2021, 5:28:57.627","March 25th 2021, 5:28:49.000",-8627,0x40158dbefc0947dab1e0f756aea4125ef1b853aca3937ddadc557bdfb52e5268,0x1d6cc3fd201ccda482d82f91e38a37821add2c036367cc85765ff7cfdeccca41,754,2639300,2639300,1000,2407,1616704129,1
1866,5079,"March 25th 2021, 5:29:02.405","March 25th 2021, 5:28:57.000",-5405,0x59b1f52b3a2a46b19fbb2345a695a7b2ff6607718b1e4868fac12d49f2eeeab0,0x807abb383397c1f78e2bf5362a80f7ded945b8b438c3d8c136acf0b4f32af863,755,1486421,1486421,1000,3635,1616704137,1
1703,3263,"March 25th 2021, 5:29:10.034","March 25th 2021, 5:29:02.000",-8034,0xc5287f01b0807ab235822890a3db7f36823f7ef646f2ae8891093f9baec03871,0xe1e6e342a485472fb348883c82abeab96b3b7ea33a9681f9b9aeec85f6f7dd73,756,2186353,2186353,1000,3795,1616704142,1
1201,5436,"March 25th 2021, 5:29:15.778","March 25th 2021, 5:29:10.000",-5778,0x633f382b0733a3ca29b5996d86d0d4d0cdbc97221c521774a20ad50c6a762075,0x977338ecc552a2996f747b53f43e3ca149083fda31b977403bbb673b18b7073d,757,595335,595335,1000,3688,1616704150,1
1953,5388,"March 25th 2021, 5:29:23.115","March 25th 2021, 5:29:15.000",-8115,0xcd079c9052821648f785a9b82e32ef463c14353f8f6fe66ac580040fecb2ac12,0x08ebeecfb34eb83bb4e4a4d577d72e99986ed263afb72d759e682c97d1983e43,758,2412839,2412839,1000,2622,1616704155,1
1888,5699,"March 25th 2021, 5:29:32.011","March 25th 2021, 5:29:23.000",-9011,0xf9c0358783c209faec185b5f3b6321f34ba1aca23883ffe82e29b391c7cf8918,0x3f9d691bf9f046e58e7224eae45384c45ba92bb729d74ddce0944ea04d792e95,759,2515781,2515781,1000,3522,1616704163,1
1655,3173,"March 25th 2021, 5:29:39.999","March 25th 2021, 5:29:32.000",-7999,0x2418ab030e801bf416dd9b81019159e530e8dd6536d3f39b367a7713c2f5bc10,0x2ac5fcab1166adb1e44872dfa9e8545414aa04957fd3b71c1d72bb079f97f1b9,760,2453884,2453884,1000,3054,1616704172,1
1679,3022,"March 25th 2021, 5:29:45.329","March 25th 2021, 5:29:40.000",-5329,0x1a1e7e3743ea9365f73a10b7698856ac6a583c1ee4b9f48142293fc622b0a171,0xb5148d284cb73d92bc9c04f017ce603a04f99cdbea87eb4133cdaea392e00946,761,1754141,1754141,1000,2946,1616704180,1
1557,3022,"March 25th 2021, 5:29:53.495","March 25th 2021, 5:29:45.000",-8495,0xcc2e89825c25a4d3b332547d4110e28d2e8037c6cd4ffc9fcac16f66c4bc0822,0x77df4e118e96a152e1d38585bb57ed78404fcf45ab3e07fa3e7dd9a031c57972,762,2350869,2350869,1000,2325,1616704185,1
1782,5728,"March 25th 2021, 5:29:59.410","March 25th 2021, 5:29:53.000",-6410,0x06ffb3fc5f3f294db972100505eeba9443b8c41fb13b3c089a29860510e46ac7,0xffae99176d48aa9c5099157e7a8b02a349e24d2667ff340c97492a6a71de06c9,763,2042186,2042186,1000,3427,1616704193,1
1976,5222,"March 25th 2021, 5:30:06.429","March 25th 2021, 5:29:59.000",-7429,0x633c663eb2fcc46ec3295eb8709f8970b6ea0330008cb97711645b8a3aa36b90,0x629770fcd10384cc693ce0c74487bd04df3b9c095602254c61f78cddc43be839,764,750277,750277,1000,3233,1616704199,1
